code,PartyNm,PartyAb,btl,candidateName,first,ALP,LP,GRN,exhausted
A,Australian Labor Party,ALP,False,GALLAGHER Katy,0,0,0,0,0
B,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,False,ANGEL Joy,0,0,0,0,0
C,United Australia Party,UAPP,False,SAVOULIDIS James,0,0,0,0,0
D,Liberal,LP,False,SESELJA Zed,0,0,0,0,0
E,David Pocock,DAVI,False,POCOCK David,0,0,0,0,0
F,Kim for Canberra,KCBR,False,RUBENSTEIN Kim,0,0,0,0,0
G,Australian Progressives,AUP,False,FAULKNER Therese,0,0,0,0,0
H,The Greens,GRN,False,GORENG GORENG Tjanara,0,0,0,0,0
I,Legalise Cannabis Australia,HMP,False,KATELARIS Andrew,0,0,0,0,0
J,Animal Justice Party,AJP,False,del VALLE Yana,0,0,0,0,0
K,Informed Medical Options Party,IMO,False,SIMMS Michael,0,0,0,0,0
L,Australian Labor Party,ALP,True,GALLAGHER Katy,94761,94761,0,0,0
M,Australian Labor Party,ALP,True,NORTHAM Maddy,471,358,29,76,8
N,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,ANGEL Joy,1558,476,396,569,117
O,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,HAYDON John,73,23,25,23,2
P,United Australia Party,UAPP,True,SAVOULIDIS James,6027,992,3469,670,896
Q,United Australia Party,UAPP,True,PAGE Tracey,117,11,66,18,22
R,Liberal,LP,True,SESELJA Zed,69673,0,69673,0,0
S,Liberal,LP,True,LAM Kacey,1072,213,760,67,32
T,David Pocock,DAVI,True,POCOCK David,60215,28576,9999,20392,1248
U,David Pocock,DAVI,True,DOUBE Clare,89,31,11,43,4
V,Kim for Canberra,KCBR,True,RUBENSTEIN Kim,12463,5147,1537,5561,218
W,Kim for Canberra,KCBR,True,HUYNH Kim,150,62,28,57,3
X,Australian Progressives,AUP,True,FAULKNER Therese,675,207,87,355,26
Y,Australian Progressives,AUP,True,LIN Stephen,44,14,6,20,4
Z,The Greens,GRN,True,GORENG GORENG Tjanara,28910,0,0,28910,0
a,The Greens,GRN,True,CRUZ James,469,66,5,397,1
b,Legalise Cannabis Australia,HMP,True,KATELARIS Andrew,4488,1301,990,1750,447
c,Legalise Cannabis Australia,HMP,True,STANVIC Michelle,62,18,13,24,7
d,Animal Justice Party,AJP,True,del VALLE Yana,1854,461,300,927,166
e,Animal Justice Party,AJP,True,FAHIZ Jannah,38,12,5,19,2
f,Informed Medical Options Party,IMO,True,SIMMS Michael,1377,200,461,293,423
g,Informed Medical Options Party,IMO,True,LIDDICOAT Mary-Jane,81,12,25,23,21
h,Independent,IND,True,LI Fuxin,550,266,106,153,25
